"가뭄","누적강수량","가조시간","평균기온","저수량","댐","총저수량"
"정상",312.7,11.1,7.4,47.94,"횡성",86.9
"정상",325.7,11.2,14.3,163.87,"남강",309.2
"정상",491.5,11.2,10.9,457.02,"용담",815
"정상",356.8,11.2,12.4,453.77,"합천",790
"정상",408.2,14.4,20.7,124.53,"남강",309.2
"보통습윤",441.7,14.5,19.8,83.73,"영주",181.1
"정상",415.9,14.3,20.8,105.57,"장흥",191
"정상",365.6,14.4,19.7,425.11,"용담",815
"정상",288.2,14.4,20.9,8.14,"보현산",22.11
"정상",288.2,14.4,20.9,48.56,"영천",103.21
"정상",632.1,14.4,21.3,6.75,"구천",10.02
"정상",632.1,14.4,21.3,2.85,"연초",5.22
"정상",353.7,14.4,22.3,50.12,"밀양",73.6
"정상",326.2,14.4,21.1,361.73,"합천",790
"정상",315.4,14.4,21.8,31.75,"부안",50.3
"정상",324.7,14.4,20.3,204.26,"섬진강",466
"정상",289.9,14.5,20.8,38.35,"보령",116.9
"정상",388.3,14.4,20.3,7.33,"대곡",36.16
"정상",388.3,14.4,20.3,3.72,"대암",13.14
"정상",388.3,14.4,20.3,7.14,"사연",30.34
"정상",388.3,14.4,20.3,1.44,"선암",2.02
"보통습윤",382.5,14.5,20.5,967.38,"안동",1248
"보통습윤",382.5,14.5,20.5,259.61,"임하",595
"정상",283.9,14.5,22.8,842.51,"대청",1490
"정상",284.9,14.5,21.7,19.55,"김천부항",54.3
"심한습윤",429.9,14.6,21.6,1580.52,"소양강",2900
"정상",324.7,14.4,21.3,201.42,"섬진강",466
"정상",388.3,14.4,20.9,7.25,"대곡",36.16
"정상",388.3,14.4,20.9,3.74,"대암",13.14
"정상",388.3,14.4,20.9,7.06,"사연",30.34
"정상",388.3,14.4,20.9,1.44,"선암",2.02
"정상",284.9,14.5,23.7,19.48,"김천부항",54.3
"정상",288.2,14.5,22.1,8.1,"보현산",22.11
"정상",288.2,14.5,22.1,48.38,"영천",103.21
"정상",632.1,14.4,21.3,6.72,"구천",10.02
"정상",632.1,14.4,21.3,2.82,"연초",5.22
"정상",326.2,14.4,21.6,360.32,"합천",790
"정상",408.2,14.4,20.9,123.08,"남강",309.2
"보통습윤",382.5,14.5,23,964.11,"안동",1248
"보통습윤",382.5,14.5,23,258.53,"임하",595
"정상",283.9,14.5,24.9,840.91,"대청",1490
"정상",359.3,14.6,22.4,1540.63,"충주",2750
"정상",415.9,14.4,21.4,105.34,"장흥",191
"정상",441.7,14.5,21.5,82.45,"영주",181.1
"정상",378.8,14.4,23.4,5.69,"평림",10.26
"정상",263,14.5,23.8,22.19,"군위",48.7
"정상",289.9,14.5,22.9,38.35,"보령",116.9
