"가뭄","누적강수량","가조시간","평균기온","저수량","댐"
"정상",522.1,14.8,25.7,1488.89,"소양강"
"정상",522.1,14.7,25.3,1489.33,"소양강"
"보통습윤",563.5,14.7,21.7,1491.1,"소양강"
"보통습윤",600.1,14.7,21.8,1526.76,"소양강"
"보통습윤",599.5,14.7,23.2,1548.46,"소양강"
"보통습윤",599.4,14.7,24.9,1560.31,"소양강"
"정상",597.8,14.7,26.5,1567.18,"소양강"
"보통습윤",622.7,14.7,26,1574.99,"소양강"
"정상",622.7,14.7,25.5,1584.22,"소양강"
"정상",635.9,14.6,25.2,1598.6,"소양강"
"정상",636.3,14.6,25.3,1610.73,"소양강"
"정상",636.3,14.6,27.3,1619.64,"소양강"
"정상",635.3,14.6,28.5,1625.28,"소양강"
"정상",635.2,14.6,29.2,1629.05,"소양강"
"정상",656.4,14.5,27.4,1632.36,"소양강"
"정상",656,14.5,27.6,1636.14,"소양강"
"정상",663.5,14.5,26.8,1638.51,"소양강"
"정상",663.6,14.5,28.1,1640.88,"소양강"
"정상",670.4,14.5,26.4,1642.78,"소양강"
"정상",670.4,14.4,27.7,1644.68,"소양강"
"정상",670.4,14.4,28.9,1646.58,"소양강"
"정상",665.9,14.4,29.1,1645.63,"소양강"
"정상",665.9,14.4,29.5,1646.1,"소양강"
"정상",665.9,14.3,30,1646.58,"소양강"
"정상",665.9,14.3,30,1647.05,"소양강"
"정상",672.3,14.3,29.8,1647.53,"소양강"
"정상",670.8,14.3,30.2,1647.53,"소양강"
"정상",670.8,14.2,29.5,1647.05,"소양강"
"정상",668.6,14.2,28.8,1647.05,"소양강"
"정상",668.6,14.2,29.7,1646.58,"소양강"
"정상",673.9,14.1,29.5,1646.58,"소양강"
"정상",708.1,14.1,27.5,1647.53,"소양강"
"정상",708.6,14.1,26.6,1649.43,"소양강"
"정상",709.3,14,27.4,1650.39,"소양강"
"정상",706.7,14,28.6,1650.39,"소양강"
"정상",704.4,14,28.4,1649.91,"소양강"
"정상",704.9,14,27.9,1648.96,"소양강"
"정상",704.9,13.9,27.5,1649.43,"소양강"
"정상",704.9,13.9,26.7,1648.96,"소양강"
