"ID","가뭄","누적강수량","계절","가조시간","평균기온","행정구역","저수량"
183,"정상",269.7,"봄",11.7,4.7,"강원도",1825.28
184,"정상",284.5,"봄",11.7,7.2,"전라북도",31.56
185,"정상",299.7,"봄",11.7,10.9,"대구광역시",24.58
186,"정상",249,"봄",11.7,4.6,"강원도",66.5
187,"약한가뭄",191.6,"봄",12.9,9.1,"경상남도",174.64
188,"정상",172,"봄",13,11.3,"경상북도",571.145
189,"정상",224.9,"봄",13,10.7,"경상북도",0.06
190,"정상",667.4,"겨울",9.8,2.4,"대구광역시",27.85
191,"정상",836,"겨울",9.7,-1,"경상북도",0.06
192,"정상",700.3,"겨울",10.6,6.3,"울산광역시",8.635
193,"정상",734.6,"겨울",10.6,3.1,"전라남도",94.04
194,"보통습윤",651.9,"겨울",10.5,3.4,"충청북도",1073.28
195,"보통습윤",765.3,"겨울",10.6,5.4,"광주광역시",6.38
196,"정상",550.9,"겨울",10.6,1.6,"경상북도",33.97
197,"정상",687,"겨울",10.5,2.2,"강원도",1840.9
198,"보통습윤",765.3,"겨울",10.6,7.3,"광주광역시",6.37
199,"정상",572.7,"겨울",10.5,2,"강원도",69.03
200,"심한습윤",953.3,"겨울",10.6,3.6,"전라북도",638.57
201,"정상",611.9,"겨울",10.6,6.5,"전라북도",32.79
202,"정상",256.7,"봄",11.7,6.7,"전라북도",319.1
203,"정상",298.1,"봄",11.7,8.3,"광주광역시",5.97
204,"정상",269.7,"봄",11.7,6.9,"강원도",1825.28
205,"정상",247,"봄",11.7,8.5,"충청북도",1046.61
206,"정상",286,"봄",11.7,8.3,"전라북도",31.52
207,"정상",286.5,"봄",11.8,5.9,"전라북도",31.47
208,"정상",208.5,"봄",13,7.9,"전라북도",322.25
209,"정상",168.1,"봄",13.1,12.3,"경상남도",536.49
210,"정상",223.9,"봄",13.1,11.9,"광주광역시",5.68
211,"정상",181.7,"봄",13.1,8.6,"충청남도",59.87
212,"정상",736.5,"겨울",9.9,0.6,"광주광역시",6.92
213,"정상",595.2,"겨울",9.7,-5.4,"강원도",71.46
214,"정상",719.2,"겨울",9.8,-1,"충청북도",1105.3
215,"정상",688.5,"겨울",9.9,-0.3,"경상남도",56.97
216,"정상",754.8,"겨울",9.9,-2.8,"전라북도",318.5
217,"정상",538,"겨울",9.9,1.2,"경상북도",37.925
218,"정상",513,"겨울",9.8,-1,"경상북도",645.245
219,"정상",589,"겨울",9.8,1,"경상북도",39.55
220,"보통습윤",999.3,"겨울",10.6,8.8,"경상남도",5.365
221,"정상",721.9,"겨울",10.7,5.2,"경상남도",179.9
222,"보통습윤",769.4,"겨울",10.6,0.8,"전라북도",318.11
223,"정상",639.2,"겨울",10.6,-0.1,"충청남도",71.42
224,"보통습윤",763.9,"겨울",10.7,-3,"전라북도",318.31
