"연도","시도","시군구","농업용","생활용","산업용","유역","지점"
2020,"충청남도","공주시",30508964,18348286,1101257,"금강","세종"
2020,"충청북도","제천시",19391264,6660235,843180,"한강","제천"
2020,"충청북도","충주시",25379591,13840566,2187277,"한강","충주"
2021,"강원도","원주시",8502713,11101634,623955,"한강","원주"
2021,"강원도","정선군",1920792,1910566,43049,"한강","정선군"
2021,"경기도","고양시",13448543,10356691,242988,"한강","서울"
2021,"경기도","과천시",838388,461127,0,"한강","서울"
2021,"경기도","동두천시",746044,985590,282892,"한강","동두천"
2021,"경상남도","합천군",18036364,4196899,621483,"낙동강","합천"
2021,"경상북도","경주시",3222245,8035043,1461197,"낙동강","경주시"
2021,"경상북도","고령군",17804913,5873010,1712412,"낙동강","대구"
2021,"경상북도","성주군",18167587,7581725,2550312,"낙동강","대구"
2021,"경상북도","청송군",3198292,2078277,83340,"낙동강","청송군"
2021,"인천광역시","강화군",13635696,12885065,350365,"한강","강화"
2021,"전라남도","강진군",6792463,5461694,285973,"영섬","강진군"
2021,"전라남도","나주시",13189880,10241551,1358288,"영섬","광주"
2021,"전라남도","신안군",1191997,891632,27690,"영섬","영광군"
2021,"전라남도","여수시",3984012,5883290,609436,"영섬","여수"
2021,"전라남도","진도군",3920709,2011768,136875,"영섬","진도군"
2021,"전라북도","고창군",33241879,4751287,413626,"금강","고창군"
2021,"전라북도","무주군",4866235,2069733,110035,"금강","금산"
2021,"전라북도","완주군",14306810,10880916,1097685,"금강","전주"
2021,"전라북도","익산시",9343499,7066193,783858,"금강","군산"
2021,"전라북도","전주시",6278017,8269262,1228413,"금강","전주"
2021,"충청남도","보령시",19816973,8143612,609710,"금강","보령"
2021,"충청남도","청양군",7899837,5668474,463425,"금강","부여"
2021,"충청북도","단양군",1230373,1799989,1469963,"한강","제천"
2021,"충청북도","옥천군",13107134,6734997,1276377,"금강","보은"
2021,"충청북도","증평군",3384745,2945273,540246,"한강","청주"
2022,"강원도","원주시",8502353,10750909,620789,"한강","원주"
2019,"강원도","속초시",624489,899161,202420,"한강","속초"
2019,"강원도","양구군",4825032,1253803,35854,"한강","인제"
2019,"강원도","화천군",5044595,2761355,154621,"한강","북춘천"
2019,"경기도","광명시",1977397,1003613,686296,"한강","서울"
2019,"경기도","구리시",694454,579000,15271,"한강","서울"
2019,"경기도","군포시",575547,738162,5018,"한강","수원"
2019,"경기도","동두천시",732300,872066,334892,"한강","동두천"
2019,"경기도","연천군",3604897,1600263,434482,"한강","동두천"
2019,"경상남도","거제시",2873409,6765686,100838,"낙동강","거제"
2019,"경상남도","통영시",1024348,1814474,49143,"낙동강","통영"
2019,"경상북도","봉화군",5169106,1830031,371532,"낙동강","봉화"
2019,"경상북도","예천군",4604116,4746833,304648,"낙동강","영주"
2019,"경상북도","울진군",2062659,2880184,192977,"낙동강","울진"
2019,"전라남도","여수시",3778062,5914928,666816,"영섬","여수"
2019,"전라북도","부안군",6135735,2912905,487957,"금강","부안"
2019,"전라북도","전주시",4750230,7790422,1239362,"금강","전주"
2019,"충청남도","계룡시",713516,663189,40906,"금강","대전"
2019,"충청남도","부여군",8991432,6355038,285002,"금강","부여"
2019,"충청남도","서산시",22550386,5705361,1087260,"금강","서산"
2019,"충청남도","서천군",10682433,4547782,879855,"금강","부여"
2019,"충청남도","예산군",13781684,16048538,625918,"금강","홍성"
2019,"충청북도","단양군",942747,1729860,1396963,"한강","제천"
2019,"충청북도","증평군",3284452,2928738,538881,"한강","청주"
2020,"강원도","양양군",1189504,798722,174755,"한강","속초"
2020,"경기도","광명시",2015519,1038141,686296,"한강","서울"
2020,"경기도","남양주시",5202012,8678868,910448,"한강","서울"
2020,"경기도","의정부시",847718,2212099,42973,"한강","서울"
2020,"경기도","평택시",5585861,8399186,5015024,"한강","수원"
2020,"경기도","화성시",5362389,13461788,3118684,"한강","인천"
2020,"경상남도","합천군",17899774,4226460,619323,"낙동강","합천"
2020,"전라남도","나주시",12875366,10064428,1312663,"영섬","광주"
